mouse.time,mouse.clicked_name,num_distr,,,mouse.time,,,,
1.7016774,['target',5,,,1.8941509,,,,
1.9988332,['target',5,,,1.7016774,,,,
3.560488,['target',5,,,1.9988332,,,,
1.4881118,['target',5,,,3.560488,,,,
2.2180948,['target',5,,,1.8644757,,,MEAN RT ( ALL)=,1.992916451
1.4424739,['target',5,,,1.4881118,,,,
1.6839738,['target',5,,,1.9663257,,,MEAN RT(5)=,2.008928141
2.3160099,['target',5,,,2.2180948,,,,
1.9813381,['target',5,,,1.3522613,,,MEAN RT ( 10)=,1.976581292
2.4690209,['target',5,,,1.4424739,,,,
1.4944284,['target',5,,,1.3755694,,,SLOPE = ,-0.00646937
1.5447614,['target',5,,,1.6839738,,,,
1.8264075,['target',5,,,2.3160099,,,,
1.5811077,['target',5,,,1.6801677,,,SET SIZE 5 ,2.008928
1.6679236,['target',5,,,1.9813381,,,,
1.7693435,['target',5,,,4.1833584,,,SET SIZE 10,1.976581
1.6247065,['target',5,,,2.4690209,,,,
1.8414296,['target',5,,,2.6531855,,,,
1.7962639,['target',5,,,1.4944284,,,,
1.522318,['target',5,,,1.5447614,,,,
1.5860609,['target',5,,,1.4364952,,,,
2.3831605,['target',5,,,1.8264075,,,,
2.5400878,['target',5,,,1.5907113,,,,
1.5590726,['target',5,,,1.5811077,,,,
2.9241531,['target',5,,,1.672837,,,,
1.6071619,['target',5,,,2.1139777,,,,
1.8422792,['target',5,,,1.6679236,,,,
1.3750276,['target',5,,,1.7693435,,,,
1.2406181,['target',5,,,1.6247065,,,,
1.7573515,['target',5,,,1.9286387,,,,
1.907459,['target',5,,,1.8414296,,,,
1.5214375,['target',5,,,1.7962639,,,,
2.4752027,['target',5,,,2.1761297,,,,
1.8256466,['target',5,,,1.9496709,,,,
1.2724529,[None,5,,,1.3941905,,,,
2.5904722,['target',5,,,1.6507835,,,,
2.0082139,['target',5,,,2.1371719,,,,
2.0409137,['target',5,,,1.9909524,,,,
1.6079525,['target',5,,,1.1698064,,,,
1.4803795,['target',5,,,1.522318,,,,
1.6584597,['target',5,,,1.5860609,,,,
1.4723376,['target',5,,,2.3831605,,,,
1.7771746,['target',5,,,2.2309177,,,,
1.408968,['target',5,,,1.6521281,,,,
1.3579418,['target',5,,,2.6746315,,,,
1.2569066,['target',5,,,2.3789837,,,,
1.4751945,['target',5,,,1.9779347,,,,
1.4030899,['target',5,,,1.656507,,,,
1.7569853,['target',5,,,1.5040549,,,,
1.3586432,['target',5,,,3.0412294,,,,
1.7421122,['target',5,,,2.5400878,,,,
1.8735288,['target',5,,,2.0230484,,,,
3.2573716,['target',5,,,2.2847274,,,,
2.2720885,['target',5,,,1.5590726,,,,
1.7093694,['target',5,,,2.9241531,,,,
1.9756108,['target',5,,,1.9615598,,,,
2.0402158,['target',5,,,1.4252986,,,,
1.9823578,['target',5,,,1.6071619,,,,
2.1243988,['target',5,,,1.8422792,,,,
3.339973,['target',5,,,1.6278982,,,,
2.4246873,['target',5,,,1.3750276,,,,
2.1910348,['target',5,,,0.4167183,,,,
2.2016464,['target',5,,,1.2406181,,,,
1.9720062,['target',5,,,1.5060511,,,,
1.6234304,['target',5,,,1.7573515,,,,
2.158109,['target',5,,,1.907459,,,,
1.3398082,['target',5,,,1.8053077,,,,
1.9082168,['target',5,,,1.775664,,,,
1.1095726,['target',5,,,1.6267986,,,,
1.6743237,['target',5,,,1.5214375,,,,
1.5915719,['target',5,,,2.4752027,,,,
1.6750957,['target',5,,,1.8256466,,,,
1.4426167,['target',5,,,1.2724529,,,,
1.4079189,['target',5,,,2.5904722,,,,
2.0249578,['target',5,,,1.9558725,,,,
1.3269607,['target',5,,,2.375945,,,,
1.72589,['target',5,,,2.0082139,,,,
1.6919347,['target',5,,,2.0409137,,,,
1.5924525,['target',5,,,1.5264736,,,,
1.6520271,['target',5,,,2.0913906,,,,
1.641,['target',5,,,2.4577463,,,,
1.8712012,['target',5,,,1.6079525,,,,
1.8408479,[None,5,,,1.4803795,,,,
1.4750268,['target',5,,,1.6584597,,,,
1.5764045,[None,5,,,1.4723376,,,,
1.7407742,['target',5,,,1.8741587,,,,
2.2748147,['target',5,,,1.7771746,,,,
2.4025158,['target',5,,,1.6651482,,,,
2.1197558,['target',5,,,1.3958707,,,,
2.5257397,['target',5,,,1.408968,,,,
1.9243533,['target',5,,,1.3579418,,,,
4.5240196,['target',5,,,1.2569066,,,,
4.157782,['target',5,,,1.6796949,,,,
7.2732139,['target',5,,,1.9537725,,,,
4.6559101,['target',5,,,2.5044719,,,,
2.0237132,['target',5,,,1.6074533,,,,
1.775167,['target',5,,,1.4751945,,,,
2.7241396,['target',5,,,1.4030899,,,,
1.6087222,['target',5,,,1.7569853,,,,
2.7068483,['target',5,,,1.3586432,,,,
3.0089875,['target',5,,,1.8737046,,,,
,,,,,1.5333775,,,,
,,,,,1.6179379,,,,
mouse.time,mouse.clicked_name,num_distr,,,3.8087067,,,,
1.8941509,['target',10,,,1.7421122,,,,
1.8644757,['target',10,,,1.8735288,,,,
1.9663257,['target',10,,,1.8241869,,,,
1.3522613,['target',10,,,2.5921267,,,,
1.3755694,['target',10,,,1.802117,,,,
1.6801677,['target',10,,,3.2573716,,,,
4.1833584,['target',10,,,2.2720885,,,,
2.6531855,['target',10,,,2.8394634,,,,
1.4364952,['target',10,,,1.7093694,,,,
1.5907113,['target',10,,,2.2385185,,,,
1.672837,['target',10,,,1.9756108,,,,
2.1139777,['target',10,,,1.8714366,,,,
1.9286387,['target',10,,,1.3767895,,,,
2.1761297,['target',10,,,1.4918318,,,,
1.9496709,['target',10,,,2.0402158,,,,
1.3941905,['target',10,,,1.9823578,,,,
1.6507835,['target',10,,,2.1243988,,,,
2.1371719,['target',10,,,3.339973,,,,
1.9909524,['target',10,,,2.4246873,,,,
1.1698064,['target',10,,,2.1910348,,,,
2.2309177,['target',10,,,1.8336608,,,,
1.6521281,['target',10,,,4.1115696,,,,
2.6746315,['target',10,,,2.1605947,,,,
2.3789837,['target',10,,,2.2016464,,,,
1.9779347,['target',10,,,1.9720062,,,,
1.656507,['target',10,,,1.354825,,,,
1.5040549,['target',10,,,1.6234304,,,,
3.0412294,['target',10,,,1.8951129,,,,
2.0230484,['target',10,,,1.709056,,,,
2.2847274,['target',10,,,2.158109,,,,
1.9615598,['target',10,,,1.3398082,,,,
1.4252986,['target',10,,,1.9347235,,,,
1.6278982,['target',10,,,1.9082168,,,,
0.4167183,[None,10,,,2.0224865,,,,
1.5060511,['target',10,,,2.1105196,,,,
1.8053077,['target',10,,,1.1095726,,,,
1.775664,['target',10,,,1.7592639,,,,
1.6267986,['target',10,,,1.6743237,,,,
1.9558725,['target',10,,,1.5915719,,,,
2.375945,['target',10,,,1.6750957,,,,
1.5264736,['target',10,,,2.3416306,,,,
2.0913906,['target',10,,,2.882439,,,,
2.4577463,['target',10,,,1.4426167,,,,
1.8741587,['target',10,,,1.4079189,,,,
1.6651482,['target',10,,,2.7062851,,,,
1.3958707,['target',10,,,2.0249578,,,,
1.6796949,['target',10,,,1.6705433,,,,
1.9537725,['target',10,,,1.5908627,,,,
2.5044719,['target',10,,,2.3101778,,,,
1.6074533,['target',10,,,1.3269607,,,,
1.8737046,['target',10,,,1.5242423,,,,
1.5333775,['target',10,,,1.72589,,,,
1.6179379,['target',10,,,1.6919347,,,,
3.8087067,['target',10,,,1.5924525,,,,
1.8241869,['target',10,,,1.9406709,,,,
2.5921267,['target',10,,,4.0774255,,,,
1.802117,['target',10,,,2.1069134,,,,
2.8394634,['target',10,,,1.5102195,,,,
2.2385185,['target',10,,,1.6520271,,,,
1.8714366,['target',10,,,1.641,,,,
1.3767895,['target',10,,,1.8712012,,,,
1.4918318,['target',10,,,1.853975,,,,
1.8336608,['target',10,,,1.8408479,,,,
4.1115696,['target',10,,,1.4750268,,,,
2.1605947,['target',10,,,1.5764045,,,,
1.354825,['target',10,,,1.9558939,,,,
1.8951129,['target',10,,,2.9884075,,,,
1.709056,['target',10,,,1.6605557,,,,
1.9347235,['target',10,,,1.7407742,,,,
2.0224865,['target',10,,,2.2748147,,,,
2.1105196,['target',10,,,2.7386845,,,,
1.7592639,['target',10,,,2.4025158,,,,
2.3416306,['target',10,,,2.1732793,,,,
2.882439,['target',10,,,1.5567724,,,,
2.7062851,['target',10,,,1.4585084,,,,
1.6705433,['target',10,,,2.1197558,,,,
1.5908627,['target',10,,,2.4065672,,,,
2.3101778,[None,10,,,2.5257397,,,,
1.5242423,['target',10,,,1.9243533,,,,
1.9406709,['target',10,,,4.5240196,,,,
4.0774255,['target',10,,,1.7334536,,,,
2.1069134,['target',10,,,4.157782,,,,
1.5102195,['target',10,,,1.8069604,,,,
1.853975,['target',10,,,7.2732139,,,,
1.9558939,['target',10,,,4.6559101,,,,
2.9884075,['target',10,,,2.0237132,,,,
1.6605557,['target',10,,,1.775167,,,,
2.7386845,['target',10,,,1.7585383,,,,
2.1732793,['target',10,,,1.6221389,,,,
1.5567724,['target',10,,,1.4415731,,,,
1.4585084,['target',10,,,2.7241396,,,,
2.4065672,['target',10,,,1.5407946,,,,
1.7334536,['target',10,,,1.6087222,,,,
1.8069604,['target',10,,,2.7068483,,,,
1.7585383,['target',10,,,1.7237083,,,,
1.6221389,['target',10,,,3.0089875,,,,
1.4415731,['target',10,,,,,,,
1.5407946,['target',10,,,,,,,
1.7237083,['target',10,,,,,,,
